X,Y:Acc_TX-Body1-Model1(m/s^2),Y:Acc_TY-Body1-Model1(m/s^2),Y:Acc_TZ-Body1-Model1(m/s^2)
1.828253,1.7275838,-0.12590132,0
1.829253,1.7297781,-0.12016025,0
1.830253,1.7319473,-0.11438955,0
1.831253,1.7340912,-0.10858926,0
1.832253,1.7362094,-0.10275943,0
1.833253,1.7383016,-0.096900097,0
1.834253,1.7403677,-0.091011306,0
1.835253,1.7424072,-0.085093107,0
1.836253,1.74442,-0.079145551,0
1.837253,1.7464058,-0.073168692,0
1.838253,1.7483642,-0.067162585,0
1.839253,1.750295,-0.061127291,0
1.840253,1.7521978,-0.05506287,0
1.841253,1.7540725,-0.048969386,0
1.842253,1.7559188,-0.042846906,0
1.843253,1.7577363,-0.036695499,0
1.844253,1.7595247,-0.030515237,0
1.845253,1.7612838,-0.024306195,0
1.846253,1.7630134,-0.01806845,0
1.847253,1.764713,-0.011802083,0
1.848253,1.7663825,-0.005507176,0
1.849253,1.7680215,0.000816185,0
1.850253,1.7696298,0.007167912,0
1.851253,1.7712071,0.013547913,0
1.852253,1.7727531,0.019956095,0
1.853253,1.7742674,0.026392361,0
1.854253,1.7757499,0.032856611,0
1.855253,1.7772003,0.039348742,0
1.856253,1.7786181,0.045868649,0
1.857253,1.7800033,0.052416225,0
1.858253,1.7813554,0.058991356,0
1.859253,1.7826743,0.065593931,0
1.860253,1.7839596,0.07222383,0
1.861253,1.785211,0.078880935,0
1.862253,1.7864282,0.085565122,0
1.863253,1.7876111,0.092276266,0
1.864253,1.7887592,0.099014237,0
1.865253,1.7898723,0.1057789,0
1.866253,1.7909502,0.11257013,0
1.867253,1.7919925,0.11938778,0
1.868253,1.792999,0.12623171,0
1.869253,1.7939694,0.13310178,0
1.870253,1.7949033,0.13999784,0
1.871253,1.7958007,0.14691973,0
1.872253,1.796661,0.15386732,0
1.873253,1.7974842,0.16084043,0
1.874253,1.7982698,0.16783892,0
1.875253,1.7990177,0.17486261,0
1.876253,1.7997275,0.18191134,0
1.877253,1.800399,0.18898495,0
1.878253,1.8010319,0.19608325,0
1.879253,1.801626,0.20320608,0
1.880253,1.8021809,0.21035326,0
1.881253,1.8026964,0.21752461,0
1.882253,1.8031722,0.22471993,0
1.883253,1.8036081,0.23193904,0
1.884253,1.8040038,0.23918176,0
1.885253,1.8043591,0.24644788,0
1.886253,1.8046735,0.25373721,0
1.887253,1.8049471,0.26104955,0
1.888253,1.8051793,0.26838469,0
1.889253,1.80537,0.27574243,0
1.890253,1.805519,0.28312256,0
1.891253,1.8056259,0.29052485,0
1.892253,1.8056906,0.29794911,0
1.893253,1.8057127,0.30539509,0
1.894253,1.805692,0.31286259,0
1.895253,1.8056283,0.32035137,0
